User Question,Labrador_retriever,Golden_retriever,German_shepherd,French_bulldog,Chihuahua,beagle,Siberian_husky,boxer,Border_collie,Shih-Tzu
tôi muốn tìm một chú chó thân thiện và thân thiện với thú cưng khác và phù hợp với người cao tuổi và không đòi hỏi quá nhiều chăm sóc.,1,1,0,0,0,1,0,0,1,1
"Tôi muốn tìm một giống chó nhỏ, dễ chăm sóc và phù hợp với cuộc sống đô thị.",0,0,0,1,1,0,0,0,0,1
phù hợp với gia đình loài chó nào có thể chịu được cả nóng và lạnh mà không gặp vấn đề sức khỏe?,1,0,0,0,0,0,0,0,0,0
dễ bảo quản ít cần chăm sóc loài chó nào có thể làm bạn đồng hành đi dã ngoại nhưng không cần nhiều huấn luyện?,1,0,0,0,0,0,0,0,0,0
chó nào không gây dị ứng và phù hợp với người thích cuộc sống yên tĩnh và không ồn ào?,1,0,0,0,0,0,0,0,0,0
phù hợp cho người bận rộn phù hợp với gia đình tôi muốn một chú chó nhỏ nhưng vẫn có thể canh gác tốt.,1,0,1,1,1,0,0,0,0,1
loài chó nào bảo vệ tốt và phù hợp cho người bận rộn và phù hợp với vùng khí hậu lạnh và sống ngoài trời?,0,0,1,0,0,0,0,1,0,0
"chó nào vừa dễ chăm sóc, vừa dễ nuôi và phù hợp cho người bận rộn và phù hợp với căn hộ nhỏ và năng động?",1,0,0,1,0,1,0,1,1,0
chó nào tốt nhất và thân thiện với thú cưng khác và phù hợp để sống trong khu vực có khí hậu khắc nghiệt?,1,1,0,0,0,1,0,0,1,1
"tôi cần một giống chó nhỏ, dễ chăm sóc và ít cần chăm sóc và có thể sống trong không gian nhỏ và phù hợp với căn hộ.",0,0,0,1,1,0,0,0,0,1
không gây dị ứng bảo vệ tốt chó nào có thể sống chung với các động vật khác và không gây vấn đề?,0,0,1,0,0,0,0,1,0,0
ít cần chăm sóc chó nào nhỏ và dễ chăm sóc?,1,0,0,0,0,0,0,0,0,0
loài chó nào năng động và dễ bảo quản và phù hợp với người lớn tuổi và không cần nhiều chăm sóc?,1,0,0,1,0,1,0,1,1,0
thích các hoạt động chó nào có thể sống tốt ở khu vực khí hậu nhiệt đới?,1,0,0,0,0,0,0,0,0,0
chó nào hoàn hảo và phù hợp để sống cùng với mèo?,1,0,0,0,0,0,0,0,0,0
chó nào phù hợp nhất và phù hợp với môi trường thành phố nhưng thích hoạt động ngoài trời?,1,0,0,0,0,0,0,0,0,0
ít rụng lông năng động chó nào có thể sống trong môi trường căn hộ và ít rụng lông?,1,0,0,1,0,1,0,1,1,0
loài chó nào bảo vệ tốt và cảnh giác với người lạ và phù hợp với gia đình có nhiều thế hệ sống chung?,1,0,1,0,0,0,0,1,0,0
loài chó nào thân thiện và thân thiện với thú cưng khác và phù hợp với gia đình có trẻ nhỏ và không đòi hỏi nhiều chăm sóc?,1,1,0,0,0,1,0,0,1,1
thích nghi tốt bảo vệ tốt loài chó nào thích hợp với người bận rộn nhưng vẫn muốn thú cưng?,0,0,1,0,0,0,0,1,0,0
Loài chó nào có thể sống cùng với mèo mà không gây vấn đề?,1,0,0,0,0,0,0,0,0,0
dễ bảo quản hoàn hảo tôi muốn một chú chó không quá đòi hỏi thời gian chăm sóc nhưng vẫn thân thiện.,1,1,0,0,0,1,0,0,1,1
loài chó nào bảo vệ tốt và phù hợp cho người bận rộn và phù hợp với người sống ở vùng núi và thích khí hậu lạnh?,0,0,1,0,0,0,0,1,0,0
chó nào hoàn hảo và cảnh giác với người lạ và phù hợp để làm bạn đồng hành cho người sống một mình?,1,0,0,0,0,0,0,0,0,0
phù hợp cho người bận rộn ít cần chăm sóc tôi cần tìm một giống chó không cần nhiều vận động nhưng vẫn thích chơi đùa.,1,0,0,0,0,0,0,0,0,0
chó nào ít cần chăm sóc và ít rụng lông và phù hợp để sống cùng với mèo?,1,0,0,0,0,0,0,0,0,0
phù hợp cho người bận rộn phù hợp với gia đình tôi cần tìm một giống chó thích nghi tốt với thay đổi khí hậu.,1,0,0,0,0,0,0,0,0,0
thích nghi tốt hoàn hảo có giống chó nào chịu nóng tốt và thích hợp với người cao tuổi không?,0,0,0,1,0,1,0,0,0,0
"tôi muốn tìm một giống chó nhỏ, dễ chăm sóc và tốt nhất và phù hợp cho người bận rộn và phù hợp với cuộc sống đô thị.",0,0,0,1,1,0,0,0,0,1
loài chó nào thân thiện và không gây dị ứng và phù hợp để sống cùng người già và không gây ồn?,1,1,0,0,0,1,0,0,1,1
chó nào bảo vệ tốt và có thể sống trong không gian nhỏ và phù hợp với môi trường sống ở nông thôn và thích không gian rộng?,0,0,1,0,0,0,0,1,0,0
không gây dị ứng lý tưởng tôi cần tìm một chú chó có khả năng bảo vệ nhà cửa nhưng không quá dữ.,0,0,1,0,0,0,0,1,0,0
thích hợp cho gia đình có trẻ nhỏ chó nào có thể sống tốt trong môi trường căn hộ nhưng vẫn cần một ít không gian vận động?,1,0,0,0,0,0,0,0,0,0
Loài chó nào phù hợp để sống trong nhà có nhiều không gian và yêu thích chạy nhảy?,0,0,0,0,1,0,0,0,0,1
dành cho người mới nuôi thân thiện chó nào có tính cách nhẹ nhàng và không quá năng động?,1,1,0,1,0,1,0,1,1,1
có thể sống trong không gian nhỏ bảo vệ tốt chó nào có thể sống chung với các động vật khác và không gây vấn đề?,0,0,1,0,0,0,0,1,0,0
thích nghi tốt lý tưởng chó nào có khả năng giữ nhà nhưng không quá hung dữ?,1,0,0,0,0,0,0,0,0,0
"thích nghi tốt dễ nuôi tôi có một khu vườn lớn, chó nào thích hợp cho việc chạy nhảy ngoài trời?",1,0,0,0,0,0,0,0,0,0
"cảnh giác với người lạ bảo vệ tốt tôi thích chó nhưng không có nhiều thời gian chăm sóc, có gợi ý nào không?",0,0,1,0,0,0,0,1,0,0
"phù hợp cho người bận rộn thích các hoạt động có giống chó nào thích hợp cho căn hộ, dễ chăm sóc, và thân thiện không?",1,1,0,0,0,1,0,0,1,1
chó nào dễ nuôi và dễ bảo quản và phù hợp với gia đình có trẻ em và cần một người bạn chơi đùa?,1,0,0,0,0,0,0,0,0,0
cảnh giác với người lạ phù hợp với gia đình loài chó nào thích hợp với người lần đầu nuôi và dễ huấn luyện?,1,0,0,0,0,0,0,0,0,0
ít rụng lông năng động tôi muốn nuôi chó trong môi trường căn hộ và không có nhiều thời gian đi dạo.,1,0,0,1,0,1,0,1,1,0
có thể sống trong không gian nhỏ hoàn hảo tôi cần tìm một giống chó có thể canh giữ nhưng không gây nguy hiểm.,1,0,0,0,0,0,0,0,0,0
thích hợp cho gia đình có trẻ nhỏ phù hợp với gia đình loài chó nào không quá lớn nhưng vẫn có khả năng bảo vệ tốt?,1,0,1,0,0,0,0,1,0,0
thích hợp cho gia đình có trẻ nhỏ dễ nuôi loài chó nào có thể sống tốt ở khu vực nhiệt đới và ít gặp vấn đề về sức khỏe?,1,0,0,0,0,0,0,0,0,0
chó nào dễ nuôi và không gây dị ứng và phù hợp để làm bạn đồng hành cho người sống một mình?,1,0,0,0,0,0,0,0,0,0
chó nào có thể sống trong không gian nhỏ và phù hợp với gia đình và có thể sống trong không gian nhỏ và phù hợp với người thích yên tĩnh và không thích ồn ào?,1,0,0,0,0,0,0,0,0,0
chó nào phù hợp với gia đình và phù hợp với người sống một mình và ít ra ngoài?,1,0,0,0,0,0,0,0,0,0
phù hợp cho người bận rộn phù hợp với gia đình loài chó nào có tính bảo vệ cao nhưng vẫn thân thiện với người lạ?,1,1,1,0,0,1,0,1,1,1
cảnh giác với người lạ thích các hoạt động tôi muốn một chú chó có thể bảo vệ nhưng không gây nguy hiểm cho trẻ em.,0,0,1,0,0,0,0,1,0,0
chó nào bảo vệ tốt và không gây dị ứng và phù hợp để sống cùng người già và không gây ồn ào?,0,0,1,0,0,0,0,1,0,0
thân thiện với thú cưng khác lý tưởng loài chó nào có thể sống trong căn hộ và không cần chăm sóc lông nhiều?,1,1,0,0,0,1,0,0,1,1
chó nào ít rụng lông và phù hợp với người muốn thú cưng nhỏ gọn và dễ dạy bảo?,1,0,0,0,1,0,0,0,0,0
thích hợp cho gia đình có trẻ nhỏ ít cần chăm sóc tôi muốn một giống chó ít phải chăm sóc lông.,1,0,0,0,0,0,0,0,0,0
Loài chó nào có thể làm bạn đồng hành tốt cho người thích làm vườn?,1,0,0,0,0,0,0,0,0,0
dễ bảo quản bảo vệ tốt tôi muốn một chú chó có thể sống tốt cả trong nhà và ngoài trời.,0,0,1,0,1,0,0,1,0,1
cảnh giác với người lạ hoàn hảo chó nào thích hợp cho người yêu thích các hoạt động ngoài trời như đi bộ đường dài?,1,0,0,0,0,0,0,0,0,0
