question,Labrador_retriever,Golden_retriever,German_shepherd,French_bulldog,Chihuahua,beagle,Siberian_husky,boxer,Border_collie,Shih-Tzu
Chó nào thân thiện với trẻ em?,1,1,0,1,0,1,0,1,1,0
Loài chó nào dễ huấn luyện nhất?,1,1,1,0,0,1,0,0,1,0
Tôi cần một loài chó không cần nhiều không gian sống?,0,0,0,1,1,1,0,0,0,1
Chó nào thích hợp cho người mới nuôi?,1,1,0,1,0,1,0,1,1,0
Loài chó nào tốt nhất để canh gác?,0,0,1,0,0,0,1,1,0,0
Chó nào thích hợp với thời tiết lạnh?,0,0,1,0,0,0,1,0,1,0
"Tôi muốn nuôi một loài chó nhỏ, dễ chăm sóc?",0,0,0,1,1,1,0,0,0,1
Chó nào có sức khỏe tốt và ít bệnh?,1,1,1,0,0,1,1,1,1,0
Chó nào thông minh và có thể tham gia các hoạt động thể thao?,1,1,1,0,0,1,1,1,1,0
Loài chó nào phù hợp với gia đình có người lớn tuổi?,1,1,0,1,0,1,0,1,0,1
Loài chó nào thích hợp để chạy bộ cùng chủ?,1,1,1,0,0,1,1,1,1,0
Chó nào dễ chăm sóc và không cần nhiều chải chuốt?,1,1,0,1,1,1,0,0,0,1
Loài chó nào không gây dị ứng cho người nuôi?,0,0,0,1,1,1,0,0,0,1
Chó nào thích nghi tốt với thời tiết nóng?,1,1,0,0,1,1,0,1,0,1
Loài chó nào sống thọ nhất?,1,1,0,0,1,1,0,0,0,1
Chó nào ít sủa nhất và yên tĩnh trong nhà?,0,0,0,1,1,0,0,0,0,1
Loài chó nào phù hợp cho việc đi du lịch thường xuyên?,0,0,0,1,1,1,0,0,0,1
Tôi muốn nuôi một loài chó trung thành và bảo vệ tốt gia đình.,1,1,1,0,0,0,1,1,0,0
Chó nào thích hợp nuôi trong căn hộ nhỏ?,0,0,0,1,1,1,0,0,0,1
Loài chó nào có thể hòa hợp với các vật nuôi khác?,1,1,0,1,1,1,0,0,1,1
Loài chó nào thích hợp để làm chó trị liệu?,1,1,0,0,0,1,0,0,1,0
Chó nào phù hợp với người năng động và hay tập thể thao?,1,1,1,0,0,1,1,1,1,0
Loài chó nào thân thiện với người lạ và dễ hòa đồng?,1,1,0,1,0,1,0,1,1,0
Chó nào có khả năng chịu đựng việc ở một mình lâu?,0,0,1,0,0,0,1,1,0,0
Loài chó nào phù hợp với gia đình có trẻ sơ sinh?,1,1,0,1,0,1,0,0,0,1
Chó nào có tuổi thọ cao và ít bệnh tật?,1,1,0,0,1,1,0,0,0,1
Loài chó nào có bộ lông cần chăm sóc đặc biệt?,0,0,0,1,0,0,0,0,1,1
Tôi muốn nuôi một loài chó trung thành và dễ bảo vệ.,1,1,1,0,0,0,1,1,0,0
Chó nào phù hợp với người sống độc thân và ít ra ngoài?,0,0,0,1,1,1,0,0,0,1
Loài chó nào có thể sống ở ngoài trời quanh năm?,0,0,1,0,0,0,1,0,1,0
Chó nào dễ dạy các thủ thuật và trò chơi?,1,1,1,0,0,1,0,1,1,0
Loài chó nào không đòi hỏi quá nhiều hoạt động thể chất?,0,0,0,1,1,1,0,0,0,1
Chó nào dễ bị béo phì nếu không vận động đủ?,1,1,0,1,0,1,0,0,0,1
Loài chó nào phù hợp với môi trường thành phố bận rộn?,0,0,0,1,1,1,0,0,0,1
Chó nào thích chơi với nước và bơi lội?,1,1,0,0,0,1,0,0,1,0
Loài chó nào cần được xã hội hóa tốt để tránh nhút nhát?,1,1,1,0,0,1,0,1,1,0
Chó nào dễ mắc các bệnh về xương khớp?,1,1,1,0,0,0,1,1,0,0
Loài chó nào cần sự chú ý thường xuyên và không chịu được cô đơn?,0,0,1,1,1,1,0,1,0,1
Chó nào có khả năng học nhanh trong các tình huống khẩn cấp?,1,1,1,0,0,1,1,1,1,0
Loài chó nào phù hợp với những người chủ lớn tuổi và không vận động nhiều?,0,0,0,1,1,0,0,0,0,1
Loài chó nào thích hợp sống ở nông thôn hơn là thành phố?,1,1,1,0,0,1,1,1,1,0
Chó nào có thể sống trong môi trường ồn ào và đông đúc?,0,0,0,1,1,1,0,0,0,1
Loài chó nào thích nghi tốt với cuộc sống ngoài trời?,1,1,1,0,0,1,1,1,1,0
Chó nào dễ thích nghi với thời tiết nóng ẩm?,1,1,0,1,1,1,0,1,0,1
Loài chó nào cần không gian rộng lớn để chạy nhảy?,1,1,1,0,0,1,1,1,1,0
Loài chó nào có nguồn gốc từ Bắc Mỹ?,0,0,0,0,0,1,0,0,0,0
Chó nào được nuôi phổ biến trong các cung điện hoàng gia?,0,0,0,1,0,0,0,0,0,1
Loài chó nào có nguồn gốc từ châu Âu và được sử dụng trong săn bắn?,1,1,1,0,0,1,0,0,1,0
Chó nào có nguồn gốc từ vùng Bắc Cực và dùng để kéo xe trượt tuyết?,0,0,0,0,0,0,1,0,0,0
